file_name,graph_coloring_exec_time,linear_scan_exec_time
test4.py,0.0024671554565429688,0.0009007453918457031
test1.py,0.0012249946594238281,0.000370025634765625
test5.py,0.0019762516021728516,0.0007619857788085938
test2.py,0.001567840576171875,0.0006048679351806641
test6.py,0.002368927001953125,0.0008769035339355469
test7.py,0.0015599727630615234,0.0005900859832763672
test3.py,0.0012211799621582031,0.0004899501800537109
test10.py,0.0015709400177001953,0.0006499290466308594
test8.py,0.0018177032470703125,0.0006899833679199219
test9.py,0.0016050338745117188,0.0006291866302490234
